书名,作者,bookId,划线数,想法数,最后阅读,分类,进度,本地文件
中国古代文学批评方法研究（精）--中华学术·有道,张伯伟,3300068796,2,0,2025-08-27,文学-文学鉴赏,0,文学/中国古代文学批评方法研究（精）--中华学术·有道.md
《飞鸟集》汉译七言诗,张湘平,3300066506,9,0,2025-08-27,文学-外国文学,0,文学/《飞鸟集》汉译七言诗.md
中国社会中的宗教 宗教的现代社会功能及其历史因素之研究_ (Z-Library),,CB_2U7B4lB6pAMn6yD6ww2q71GS,2,0,2025-08-26,,0,未分类/中国社会中的宗教 宗教的现代社会功能及其历史因素之研究_ (Z-Library).md
汤姆·索亚历险记（经典译林）,马克·吐温,856138,1,0,2025-08-26,文学-世界名著,0,文学/汤姆·索亚历险记（经典译林）.md
动物庄园（奥威尔作品集）,乔治·奥威尔,641029,1,0,2025-08-26,文学-外国文学,0,文学/动物庄园（奥威尔作品集）.md
苏东坡传（纪念典藏版）,林语堂,841820,2,0,2025-08-26,人物传记-文学家,0,人物传记/苏东坡传（纪念典藏版）.md
富爸爸穷爸爸,罗伯特·清崎,23601930,14,1,2025-08-24,经济理财-理财,24,经济理财/富爸爸穷爸爸.md
Harry Potter： The Complete Collection (1-7）,J.K. Rowling,834436,17,17,2025-08-24,文学-外国文学,34,文学/Harry Potter： The Complete Collection (1-7）.md
The Lord of the Rings Boxed Set 魔戒三部曲（英文版）,【英】 J.R.R.托尔金,3300152201,1,1,2025-08-24,教育学习-外语,0,教育学习/The Lord of the Rings Boxed Set 魔戒三部曲（英文版）.md
梦的解析：最佳译本,【奥】弗洛伊德,926608,69,6,2025-08-23,心理-心理学应用,25,心理/梦的解析：最佳译本.md
只是为了好玩,Linus Torvalds,CB_97e51m2kIAV14ls6xF5ai4Js,4,0,2025-08-22,,0,未分类/只是为了好玩.md
谷物大脑,戴维·珀尔马特 克里斯廷·洛伯格,622081,2,0,2025-08-21,医学健康-健康,0,医学健康/谷物大脑.md
雨夜短文,余秋雨,26132378,2,0,2025-08-21,文学-散文杂著,3,文学/雨夜短文.md
